,price,occupancy_area,room_layout,address,management_expenses,reserve_fund_for_repairs,building_structure,total_number_of_houses,parking,bike_parking,pet,land_rights,management,rank,floor_number,building_age,route,station,walk_distance,running_cost,parking_cost
4401,83800000,69.66,２ＳＬＤＫ,港区,16020,26960,ＲＣ,47,空無,,,所有権,全部委託・日勤管理,7,1,22,東京メトロ南北線, 白金高輪駅,7,42980,
4402,83800000,53.43,２ＬＤＫ,港区,11590,8290,ＳＲＣ,63,,有,相談,所有権,全部委託・日勤管理,13,7,21,東京メトロ日比谷線, 六本木駅,9,19880,
4403,83800000,53.43,２ＬＤＫ,港区,11590,8290,ＳＲＣ,63,,,相談,所有権,全部委託・日勤管理,13,7,21,東京メトロ日比谷線, 六本木駅,9,19880,
4404,83800000,53.43,２ＬＤＫ,港区,11590,8290,ＳＲＣ,63,空無,有,相談,所有権,全部委託・日勤管理,13,7,21,東京メトロ日比谷線, 六本木駅,9,19880,
4405,83800000,53.43,２ＬＤＫ,港区,11590,8290,ＳＲＣ,63,,,相談,所有権,全部委託・日勤管理,13,7,21,東京メトロ千代田線, 乃木坂駅,9,19880,
4406,83800000,53.43,２ＬＤＫ,港区,11590,8290,ＳＲＣ,49,,,相談,所有権,全部委託・日勤管理,13,7,21,東京メトロ日比谷線, 六本木駅,9,19880,
4407,83800000,53.43,２ＬＤＫ,港区,11590,8290,ＳＲＣ,63,,,相談,所有権,全部委託・日勤管理,13,7,21,東京メトロ千代田線, 乃木坂駅,9,19880,
4408,83800000,53.43,２ＬＤＫ,港区,11590,8290,ＳＲＣ,63,空無,有,相談,所有権,全部委託・日勤管理,13,7,21,東京メトロ日比谷線, 六本木駅,9,19880,
4409,83800000,53.43,２ＬＤＫ,港区,11590,8290,ＳＲＣ,63,空無,有,小型犬可 											猫可,所有権,全部委託・日勤管理,13,7,21,東京メトロ日比谷線, 六本木駅,9,19880,
4410,83800000,53.43,２ＬＤＫ,港区,11590,8290,ＳＲＣ,63,空無,有,相談,所有権,全部委託・日勤管理,13,7,21,東京メトロ日比谷線, 六本木駅,9,19880,
